Year,Period,Label,Value
2007,M12,2007 Dec,5.9
2008,M01,2008 Jan,6.4
2008,M02,2008 Feb,6.2
2008,M03,2008 Mar,6
2008,M04,2008 Apr,5.8
2008,M05,2008 May,6.8
2008,M06,2008 Jun,7.6
2008,M07,2008 Jul,7.5
2008,M08,2008 Aug,7.6
2008,M09,2008 Sep,7
2008,M10,2008 Oct,7.2
2008,M11,2008 Nov,7.2
2008,M12,2008 Dec,8.1
2009,M01,2009 Jan,9.3
2009,M02,2009 Feb,10.2
2009,M03,2009 Mar,10.4
2009,M04,2009 Apr,10.5
2009,M05,2009 May,10.9
2009,M06,2009 Jun,11.7
2009,M07,2009 Jul,11.7
2009,M08,2009 Aug,11.7
2009,M09,2009 Sep,11.7
2009,M10,2009 Oct,11.9
2009,M11,2009 Nov,11.5
2009,M12,2009 Dec,11.9
2010,M01,2010 Jan,12.6
2010,M02,2010 Feb,12.2
2010,M03,2010 Mar,11.7
2010,M04,2010 Apr,11.4
2010,M05,2010 May,10.9
2010,M06,2010 Jun,11.2
2010,M07,2010 Jul,11.4
2010,M08,2010 Aug,11.1
2010,M09,2010 Sep,10.5
2010,M10,2010 Oct,10.4
2010,M11,2010 Nov,10.4
2010,M12,2010 Dec,10.1
2011,M01,2011 Jan,10.9
2011,M02,2011 Feb,10.6
2011,M03,2011 Mar,10.3
2011,M04,2011 Apr,10.3
2011,M05,2011 May,10.7
2011,M06,2011 Jun,11.6
2011,M07,2011 Jul,11.7
2011,M08,2011 Aug,11.6
2011,M09,2011 Sep,11.2
2011,M10,2011 Oct,11
2011,M11,2011 Nov,10.2
2011,M12,2011 Dec,10.2
2012,M01,2012 Jan,10.5
2012,M02,2012 Feb,10.3
2012,M03,2012 Mar,9.8
2012,M04,2012 Apr,9.5
2012,M05,2012 May,9.8
2012,M06,2012 Jun,10.6
2012,M07,2012 Jul,10.7
2012,M08,2012 Aug,10.4
2012,M09,2012 Sep,9.5
2012,M10,2012 Oct,9.8
2012,M11,2012 Nov,9.4
2012,M12,2012 Dec,9.9
2013,M01,2013 Jan,11.1
2013,M02,2013 Feb,10.6
2013,M03,2013 Mar,9.9
2013,M04,2013 Apr,9.7
2013,M05,2013 May,10
2013,M06,2013 Jun,10.8
2013,M07,2013 Jul,10.5
2013,M08,2013 Aug,10.3
2013,M09,2013 Sep,9.8
2013,M10,2013 Oct,9.9
2013,M11,2013 Nov,9.3
2013,M12,2013 Dec,9
2014,M01,2014 Jan,9.4
2014,M02,2014 Feb,9.4
2014,M03,2014 Mar,8.7
2014,M04,2014 Apr,7.7
2014,M05,2014 May,7.7
2014,M06,2014 Jun,8
2014,M07,2014 Jul,8.2
2014,M08,2014 Aug,7.8
2014,M09,2014 Sep,7.1
2014,M10,2014 Oct,7
2014,M11,2014 Nov,6.7
2014,M12,2014 Dec,6.3
2015,M01,2015 Jan,7.4
2015,M02,2015 Feb,7
2015,M03,2015 Mar,6.5
2015,M04,2015 Apr,6.3
2015,M05,2015 May,6.6
2015,M06,2015 Jun,6.9
2015,M07,2015 Jul,6.9
2015,M08,2015 Aug,6.5
2015,M09,2015 Sep,5.9
2015,M10,2015 Oct,6.2
2015,M11,2015 Nov,6.2
2015,M12,2015 Dec,6.3
2016,M01,2016 Jan,7
2016,M02,2016 Feb,6.9
2016,M03,2016 Mar,6.8
2016,M04,2016 Apr,6.6
2016,M05,2016 May,6
2016,M06,2016 Jun,6.8
2016,M07,2016 Jul,6.7
2016,M08,2016 Aug,6.6
2016,M09,2016 Sep,6.4
2016,M10,2016 Oct,6.4
2016,M11,2016 Nov,5.9
2016,M12,2016 Dec,6
2017,M01,2017 Jan,6.2
2017,M02,2017 Feb,5.5
2017,M03,2017 Mar,4.5
2017,M04,2017 Apr,4.7
2017,M05,2017 May,4.6
2017,M06,2017 Jun,5.5
2017,M07,2017 Jul,5.3
2017,M08,2017 Aug,6.1
