order_id,customer_id,product_id,product_cnt,order_amt,shipping_type_id,order_time
95,1640,10,8,1362.16,1,2017-05-02 02:20:57
96,5824,6,5,27.45,1,2017-05-02 03:44:44
97,3589,1,3,77.49,3,2017-05-02 04:23:53
98,2106,1,4,103.32,3,2017-05-02 04:48:57
99,627,4,5,,1,2017-05-02 05:06:56
100,1837,13,3,545.94,3,2017-05-02 05:02:04
101,6714,17,7,690.48,3,2017-05-02 05:00:07
102,4967,6,10,54.9,2,2017-05-02 05:05:26
103,311,3,2,113.04,1,2017-05-02 05:27:54
104,8309,9,5,71.8,3,2017-05-02 05:51:48
105,1903,6,2,10.98,1,2017-05-02 05:20:50
106,5327,12,2,441.7,2,2017-05-02 06:52:20
107,1888,4,3,216.54,2,2017-05-02 06:34:11
108,4380,5,7,563.71,3,2017-05-02 06:31:50
109,5166,6,8,43.92,3,2017-05-02 08:31:40
110,3773,9,6,86.16,2,2017-05-02 08:36:28
111,5682,8,8,76.56,1,2017-05-02 08:58:32
112,626,12,10,2208.5,2,2017-05-02 09:57:45
113,3692,12,6,1325.1,2,2017-05-02 09:57:40
114,5628,3,10,565.2,3,2017-05-02 10:33:19
115,1752,2,4,169.0,2,2017-05-02 10:58:38
116,3236,10,10,1702.7,3,2017-05-02 11:04:38
117,6464,14,1,543.36,3,2017-05-02 11:04:02
118,2812,10,10,1702.7,3,2017-05-02 11:00:24
119,2221,13,3,545.94,1,2017-05-02 11:21:40
120,5846,9,9,129.24,1,2017-05-02 11:41:59
121,5151,2,9,380.25,2,2017-05-02 11:21:34
122,6573,6,6,32.94,2,2017-05-02 11:37:05
123,2920,4,5,360.9,3,2017-05-02 11:21:05
124,5317,3,5,282.6,2,2017-05-02 11:04:56
125,1117,4,3,216.54,1,2017-05-02 12:54:59
126,3992,15,3,2233.11,1,2017-05-02 12:53:59
127,5387,6,9,49.41,3,2017-05-02 12:05:25
128,2086,2,8,338.0,3,2017-05-02 12:37:55
129,2098,6,6,32.94,1,2017-05-02 12:49:12
130,5941,17,7,690.48,2,2017-05-02 12:34:52
131,1853,12,7,1545.95,1,2017-05-02 13:12:03
132,2423,7,9,26.64,3,2017-05-02 13:42:23
133,5279,1,2,51.66,2,2017-05-02 13:25:05
134,1105,17,2,197.28,1,2017-05-02 13:30:32
135,5565,16,10,421.2,2,2017-05-02 13:36:21
136,4229,9,7,100.52,2,2017-05-02 13:27:47
137,4437,9,3,43.08,3,2017-05-02 14:05:54
138,2377,13,7,1273.86,3,2017-05-02 14:31:26
139,597,10,9,1532.43,2,2017-05-02 15:11:17
140,1277,8,5,47.85,3,2017-05-02 15:56:27
141,4784,3,10,565.2,3,2017-05-02 15:57:21
142,3241,15,10,7443.7,1,2017-05-02 15:02:37
143,4892,7,3,8.88,3,2017-05-02 15:46:42
144,2325,2,5,211.25,3,2017-05-02 15:37:52
145,4201,8,2,19.14,3,2017-05-02 15:57:24
146,6486,15,5,3721.85,2,2017-05-02 16:21:18
147,1365,10,4,681.08,1,2017-05-02 16:44:54
148,2548,10,9,1532.43,1,2017-05-02 16:16:44
149,3831,12,1,220.85,2,2017-05-02 16:26:16
150,6632,1,7,180.81,3,2017-05-02 16:42:34
151,799,11,9,305.1,2,2017-05-02 17:09:51
152,4921,15,3,2233.11,1,2017-05-02 18:36:25
153,4682,4,7,505.26,3,2017-05-02 18:20:07
154,1777,11,7,237.3,1,2017-05-02 18:02:21
155,426,11,6,203.4,1,2017-05-02 18:49:12
156,731,8,9,86.13,3,2017-05-02 18:34:31
157,3934,2,1,42.25,1,2017-05-02 18:14:56
158,6207,3,8,452.16,2,2017-05-02 18:02:46
159,6388,13,6,1091.88,1,2017-05-02 19:20:31
160,6359,6,3,16.47,2,2017-05-02 19:03:16
161,7070,17,6,591.84,3,2017-05-02 19:55:40
162,5607,10,2,340.54,3,2017-05-02 19:12:21
163,4286,1,8,206.64,3,2017-05-02 19:56:43
164,691,13,10,1819.8,2,2017-05-02 20:18:21
165,2028,16,1,42.12,1,2017-05-02 20:56:57
166,392,13,5,909.9,1,2017-05-02 20:05:20
167,2290,5,4,322.12,2,2017-05-02 20:04:31
168,3651,15,3,2233.11,1,2017-05-02 21:45:17
169,3474,8,5,47.85,3,2017-05-02 21:29:11
170,6909,15,2,1488.74,1,2017-05-02 22:07:05
171,247,2,8,338.0,1,2017-05-02 22:29:14
172,760,16,6,252.72,3,2017-05-02 22:27:34
173,383,4,5,360.9,1,2017-05-02 23:43:54
174,213,9,8,114.88,1,2017-05-03 00:43:11
175,5581,16,3,126.36,1,2017-05-03 00:48:19
176,5896,15,5,3721.85,3,2017-05-03 00:51:48
177,8300,11,6,203.4,2,2017-05-03 01:24:09
178,574,5,6,483.18,1,2017-05-03 01:03:33
179,4349,9,8,114.88,3,2017-05-03 01:40:57
180,6486,4,10,721.8,2,2017-05-03 01:15:45
181,6054,5,8,644.24,3,2017-05-03 01:20:56
182,6210,15,2,1488.74,2,2017-05-03 02:26:41
183,719,1,1,25.83,2,2017-05-03 02:38:11
184,4784,11,3,101.7,3,2017-05-03 02:22:03
185,1605,16,5,210.6,1,2017-05-03 03:43:55
186,284,3,4,226.08,2,2017-05-03 03:52:59
187,3912,3,3,169.56,2,2017-05-03 04:04:53
188,1350,4,9,649.62,1,2017-05-03 04:03:36
189,5843,3,7,395.64,2,2017-05-03 04:39:55
190,4,12,6,1325.1,1,2017-05-03 05:34:51
191,3730,2,5,211.25,1,2017-05-03 05:59:40
192,3795,12,10,2208.5,3,2017-05-03 05:43:36
193,5129,14,5,2716.8,3,2017-05-03 05:52:00
194,2608,12,1,220.85,3,2017-05-03 05:31:31
195,1028,17,10,986.4,1,2017-05-03 06:28:28
196,2602,11,1,33.9,3,2017-05-03 06:14:20
197,5735,14,3,1630.08,3,2017-05-03 07:50:45
198,8211,17,2,197.28,2,2017-05-03 07:55:46
199,6029,9,8,114.88,1,2017-05-03 07:16:54
200,3308,15,4,2977.48,1,2017-05-03 07:17:50
201,5102,6,6,32.94,1,2017-05-03 08:42:32
202,2311,14,4,2173.44,3,2017-05-03 08:44:18
203,6782,8,10,95.7,3,2017-05-03 08:03:01
204,6261,12,7,1545.95,3,2017-05-03 09:45:47
205,5741,4,8,577.44,3,2017-05-03 09:35:18
206,1972,10,8,1362.16,3,2017-05-03 09:52:40
207,4863,16,6,252.72,1,2017-05-03 10:29:48
208,4961,17,8,789.12,3,2017-05-03 10:58:56
209,521,7,4,11.84,1,2017-05-03 11:43:30
210,371,13,8,1455.84,2,2017-05-03 11:16:07
211,5093,10,7,1191.89,1,2017-05-03 11:09:00
212,4932,9,7,100.52,2,2017-05-03 12:48:36
213,5152,14,4,2173.44,2,2017-05-03 12:01:40
214,5986,5,3,241.59,3,2017-05-03 12:22:04
215,5825,1,8,206.64,3,2017-05-03 12:16:18
216,3418,14,2,,1,2017-05-03 12:39:49
217,1735,2,1,42.25,3,2017-05-03 12:37:46
218,5678,16,4,168.48,1,2017-05-03 13:34:13
219,5967,14,7,3803.52,3,2017-05-03 13:32:15
220,1891,6,4,21.96,2,2017-05-03 13:33:48
221,4450,4,9,649.62,1,2017-05-03 14:52:41
222,2300,13,1,181.98,2,2017-05-03 14:58:36
223,2001,14,8,4346.88,3,2017-05-03 14:03:59
224,713,14,9,4890.24,3,2017-05-03 14:35:31
225,4326,10,5,851.35,3,2017-05-03 14:12:24
226,6834,3,1,56.52,1,2017-05-03 15:41:01
227,5643,9,7,100.52,3,2017-05-03 15:02:44
228,2419,15,3,2233.11,1,2017-05-03 15:28:44
229,6035,17,1,98.64,2,2017-05-03 16:50:19
230,2296,17,6,591.84,1,2017-05-03 16:23:08
231,5914,3,3,169.56,3,2017-05-03 16:13:47
232,5973,9,9,129.24,3,2017-05-03 16:04:49
233,6355,17,5,493.2,1,2017-05-03 16:02:18
234,3947,1,1,25.83,3,2017-05-03 16:26:04
235,618,5,9,724.77,1,2017-05-03 16:46:02
236,5311,15,4,2977.48,2,2017-05-03 17:09:10
237,1238,14,2,1086.72,3,2017-05-03 17:52:57
238,3404,17,1,98.64,3,2017-05-03 17:12:08
239,6916,12,4,883.4,3,2017-05-03 17:29:22
240,6619,3,4,226.08,3,2017-05-03 18:45:19
241,682,7,7,20.72,2,2017-05-03 18:55:28
242,4239,8,7,66.99,1,2017-05-03 18:11:38
243,2795,10,5,851.35,3,2017-05-03 18:47:21
244,3651,10,10,1702.7,3,2017-05-03 18:01:25
245,949,10,4,681.08,1,2017-05-03 18:43:54
246,2350,15,6,4466.22,1,2017-05-03 18:32:14
247,2728,14,1,543.36,1,2017-05-03 18:40:01
248,232,3,9,,3,2017-05-03 18:51:53
249,3097,3,4,226.08,3,2017-05-03 18:25:44
250,737,9,7,100.52,2,2017-05-03 19:33:15
251,5721,1,7,180.81,1,2017-05-03 19:06:24
252,689,13,5,909.9,3,2017-05-03 20:14:01
253,6829,11,3,101.7,1,2017-05-03 20:16:25
254,2092,17,2,,3,2017-05-03 20:27:18
255,4700,12,8,1766.8,2,2017-05-03 20:57:43
256,250,7,2,5.92,1,2017-05-03 20:21:39
257,5905,9,4,57.44,1,2017-05-03 20:23:30
258,5757,13,8,1455.84,3,2017-05-03 21:09:39
259,5994,10,10,1702.7,1,2017-05-03 21:46:16
260,5060,14,7,3803.52,3,2017-05-03 21:38:42
261,6455,7,5,14.8,2,2017-05-03 22:01:54
262,6956,7,1,2.96,1,2017-05-03 22:22:37
263,6888,13,1,181.98,1,2017-05-03 22:10:43
264,2653,17,10,986.4,3,2017-05-03 22:06:39
265,506,14,3,1630.08,1,2017-05-03 22:49:44
266,5126,7,8,23.68,3,2017-05-03 23:17:19
267,6136,14,5,2716.8,2,2017-05-03 23:37:40
268,4525,15,4,2977.48,2,2017-05-03 23:52:47
269,4970,12,3,662.55,2,2017-05-04 00:28:20
270,438,1,9,232.47,1,2017-05-04 00:00:58
271,5425,7,1,2.96,3,2017-05-04 00:23:51
272,6580,15,2,1488.74,1,2017-05-04 00:48:31
273,3445,16,4,168.48,2,2017-05-04 01:48:20
274,215,17,6,591.84,3,2017-05-04 01:05:33
275,3182,10,1,170.27,2,2017-05-04 02:07:53
276,5100,12,9,1987.65,2,2017-05-04 02:43:36
277,1778,10,10,1702.7,1,2017-05-04 03:14:32
278,567,7,1,2.96,1,2017-05-04 03:45:39
279,389,11,2,67.8,2,2017-05-04 04:56:47
280,1839,5,6,483.18,1,2017-05-04 04:24:09
281,5632,14,9,4890.24,2,2017-05-04 05:35:31
282,6485,11,7,237.3,1,2017-05-04 05:20:44
283,5338,14,10,5433.6,3,2017-05-04 05:36:32
284,1760,11,3,101.7,1,2017-05-04 06:08:55
285,6653,7,5,14.8,3,2017-05-04 07:36:51
286,3303,12,7,1545.95,1,2017-05-04 07:57:41
287,1796,3,4,226.08,1,2017-05-04 07:51:46
288,3076,9,8,114.88,3,2017-05-04 08:13:41
289,3681,13,1,181.98,2,2017-05-04 08:07:28
290,7009,5,9,724.77,1,2017-05-04 08:21:59
291,5445,2,2,84.5,1,2017-05-04 08:25:53
292,5543,10,10,1702.7,2,2017-05-04 08:09:04
293,181,10,1,170.27,3,2017-05-04 08:16:46
294,5730,14,10,5433.6,3,2017-05-04 09:40:00
295,5464,12,1,220.85,2,2017-05-04 11:03:15
296,4945,16,5,210.6,3,2017-05-04 11:38:28
297,1480,16,4,168.48,2,2017-05-04 12:49:21
298,4696,3,3,169.56,2,2017-05-04 12:44:17
299,3479,13,10,1819.8,1,2017-05-04 13:40:11
300,6445,3,4,226.08,3,2017-05-04 13:13:35
1023,5735,8,7,66.99,3,2017-05-01 06:57:30
1037,3563,12,10,2208.5,3,2017-05-01 09:01:00
1058,2798,6,7,38.43,2,2017-05-01 16:40:20
1111,5682,8,8,76.56,1,2017-05-02 08:58:32
1187,3912,3,3,169.56,2,2017-05-03 04:04:53
1190,4,12,6,1325.1,1,2017-05-03 05:34:51
1223,2001,14,8,4346.88,3,2017-05-03 14:03:59
1278,567,7,1,2.96,1,2017-05-04 03:45:39
